,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind,kind_num,density_num
3221,6.6,0.24,2.28,12.75,0.034,124.0,74.0,medium,3.1,0.57,12.9,6,nan,,2.0
3222,6.6,0.16,2.04,1.1,0.037,161.0,115.0,low,3.01,0.68,12.0,6,white,0.0,1.0
3223,8.2,0.3,2.64,12.4,0.043,172.0,154.0,medium,3.04,0.33,12.0,6,white,0.0,2.0
3224,5.7,0.15,1.68,3.7,0.045,179.0,151.0,low,3.22,0.27,11.2,6,white,0.0,1.0
3225,6.6,0.33,2.8,2.65,0.041,171.0,86.0,nan,3.11,0.39,13.3,7,white,0.0,
3226,5.7,0.2,1.8,2.5,0.046,162.0,125.0,medium,3.34,0.5,9.9,6,white,0.0,2.0
3227,6.8,0.27,2.22,8.2,0.055,176.0,192.0,high,3.11,0.52,9.5,6,white,0.0,3.0
3228,6.8,0.27,2.52,7.3,0.054,182.0,200.0,high,3.12,0.49,9.4,6,white,0.0,3.0
3229,6.2,0.2,1.82,1.1,0.047,182.0,119.0,low,3.48,0.6,11.0,7,white,0.0,1.0
3230,6.7,0.359,3.42,6.6,0.056,182.0,150.0,high,2.96,0.43,9.4,6,white,0.0,3.0
3231,6.8,0.21,2.22,7.0,0.038,147.0,107.0,low,2.98,0.82,11.5,6,white,0.0,1.0
3232,6.7,0.31,1.6,14.5,0.038,108.0,79.0,medium,3.14,0.34,12.5,5,white,0.0,2.0
3233,7.669,0.2,1.74,11.8,0.035,147.0,93.0,medium,3.18,0.34,11.9,6,white,0.0,2.0
3234,6.6,0.25,2.04,3.0,0.054,144.0,141.0,medium,3.26,0.47,10.4,6,nan,,2.0
3235,5.7,0.15,1.68,3.7,0.045,179.0,151.0,low,3.22,0.27,11.2,6,white,0.0,1.0
3236,6.9,0.22,2.34,6.0,0.035,164.0,141.0,low,3.11,0.33,12.5,6,white,0.0,1.0
3237,6.4,0.23,2.45,4.6,0.039,185.0,147.0,low,3.18,0.592,11.0,7,white,0.0,1.0
3238,7.48,0.27,1.45,2.5,0.059,141.0,115.0,medium,3.09,0.37,10.527,5,white,0.0,2.0
3239,6.6,0.34,1.68,3.3,0.034,165.0,99.0,low,3.1,0.4,12.3,7,white,0.0,1.0
3240,6.4,0.16,2.52,1.0,0.036,151.0,113.0,low,3.18,0.52,11.0,6,white,0.0,1.0
3241,5.8,0.3,2.94,1.1,0.036,159.0,113.0,low,3.1,0.46,12.6,7,white,0.0,1.0
3242,7.0,0.29,2.1,1.4,0.036,168.0,109.0,low,3.31,0.62,11.6,6,white,0.0,1.0
3243,6.6,0.34,1.68,3.3,0.034,150.806,99.0,low,3.1,0.4,12.3,7,white,0.0,1.0
3244,6.7,0.21,2.52,8.55,0.02,160.0,86.0,low,3.19,0.552,13.4,7,white,0.0,1.0
3245,7.265,0.27,1.45,2.5,0.059,137.0,115.0,medium,3.09,0.37,9.8,5,white,0.0,2.0
3246,6.8,0.22,2.46,6.7,0.034,161.0,116.0,medium,3.18,0.46,11.5,6,white,0.0,2.0
3247,7.7,0.27,2.94,3.8,0.037,166.0,139.0,low,3.04,0.38,11.6,6,white,0.0,1.0
3248,6.4,0.25,2.59,4.5,0.039,183.0,147.0,low,3.18,0.4,11.1,7,white,0.0,1.0
3249,6.4,0.23,2.45,4.6,0.039,177.0,147.0,low,3.18,0.4,11.0,7,white,0.0,1.0
3250,6.7,0.13,2.7,4.2,0.043,172.0,131.0,low,3.06,0.54,11.3,6,white,0.0,1.0
3251,6.7,0.375,2.22,11.3,0.043,188.0,173.0,high,3.08,0.53,10.864,6,white,0.0,3.0
3252,7.1,0.26,2.96,5.5,0.025,195.0,105.0,low,3.06,0.33,12.6,8,white,0.0,1.0
3253,5.3,0.3,1.28,4.2,0.029,195.0,100.0,low,3.3,0.36,11.8,8,white,0.0,1.0
3254,7.1,0.383,2.0,2.2,0.042,154.0,201.0,low,3.03,0.564,11.4,5,white,0.0,1.0
3255,7.4,0.19,1.86,14.5,0.045,156.431,193.0,very high,3.1,0.5,9.2,6,white,0.0,4.0
3256,7.4,0.19,1.86,14.5,0.045,161.0,193.0,very high,3.1,0.5,9.2,6,white,0.0,4.0
3257,7.4,0.19,1.86,14.5,0.045,159.0,193.0,very high,3.1,0.5,9.2,6,white,0.0,4.0
3258,7.4,0.383,1.86,14.5,0.045,163.0,193.0,very high,3.1,0.582,9.2,6,white,0.0,4.0
3259,7.4,0.19,1.86,14.5,0.045,155.0,193.0,very high,3.1,0.5,9.2,6,white,0.0,4.0
3260,7.4,0.19,1.86,14.5,0.045,155.0,193.0,very high,3.1,0.56,9.2,6,nan,,4.0
3261,6.3,0.32,1.6,1.5,0.03,124.0,101.0,low,3.21,0.42,13.0,5,white,0.0,1.0
3262,7.6,0.19,2.24,18.75,0.047,176.0,193.0,very high,3.1,0.555,9.3,7,white,0.0,4.0
3263,6.5,0.38,2.48,3.6,0.03,198.0,92.0,low,3.22,0.62,12.6,8,white,0.0,1.0
3264,5.9,0.24,0.72,1.4,0.035,184.0,247.0,medium,3.34,0.44,9.6,6,white,0.0,2.0
3265,4.2,0.215,0.69,5.1,0.041,118.0,157.0,high,3.42,0.44,8.0,3,white,0.0,3.0
3266,8.1,0.24,1.92,10.5,0.03,154.0,105.0,medium,3.11,0.42,11.8,6,white,0.0,2.0
3267,7.502,0.23,1.2,2.0,0.043,161.0,154.0,low,3.21,0.39,10.2,6,white,0.0,1.0
3268,7.5,0.33,2.16,2.6,0.051,148.0,126.0,low,3.32,0.53,12.7,6,white,0.0,1.0
3269,6.6,0.38,1.8,9.2,0.061,138.0,214.0,very high,3.31,0.56,9.4,5,white,0.0,4.0
3270,6.4,0.15,1.45,1.8,0.044,117.0,115.0,low,3.1,0.38,10.2,5,white,0.0,1.0
3271,6.5,0.32,2.38,5.7,0.044,167.0,91.0,low,3.28,0.6,12.0,7,white,0.0,1.0
3272,7.5,0.22,2.24,2.4,0.045,167.0,100.0,low,3.08,0.6,11.3,7,white,0.0,1.0
3273,6.4,0.23,2.24,1.9,0.038,176.0,118.0,low,3.32,0.53,11.8,7,white,0.0,1.0
3274,6.1,0.22,1.55,1.4,0.039,142.0,129.0,low,3.45,0.59,10.9,5,white,0.0,1.0
3275,6.5,0.48,0.08,0.9,0.043,110.0,99.0,low,3.14,0.47,9.8,4,white,0.0,1.0
3276,6.6,0.23,2.4,4.6,0.06,195.0,154.0,low,3.23,0.49,12.2,8,white,0.0,1.0
3277,6.4,0.16,1.75,1.4,0.057,161.0,125.0,low,3.23,0.44,11.1,7,white,0.0,1.0
3278,6.6,0.38,1.8,9.2,0.061,142.0,214.0,very high,3.31,0.56,9.4,5,white,0.0,4.0
3279,7.4,0.16,1.92,1.4,0.065,143.0,140.0,low,3.06,0.597,11.4,6,white,0.0,1.0
3280,6.4,0.15,1.45,1.8,0.044,117.0,115.0,low,3.1,0.38,10.2,5,white,0.0,1.0
3281,6.5,0.32,1.8,2.3,0.051,138.0,127.0,low,3.13,0.52,12.8,6,white,0.0,1.0
3282,7.811,0.12,2.52,2.3,0.039,189.0,125.0,low,3.07,0.67,10.1,7,white,0.0,1.0
3283,6.6,0.2,0.84,4.4,0.059,155.0,168.0,medium,2.93,0.45,9.4,6,white,0.0,2.0
3284,8.0,0.34,1.5,6.4,0.035,162.0,103.0,low,2.91,0.23,12.2,6,white,0.0,1.0
3285,6.8,0.21,2.17,2.9,0.046,176.0,121.0,low,3.07,0.65,10.9,7,white,0.0,1.0
3286,6.8,0.23,2.17,2.8,0.047,182.0,122.0,low,3.06,0.64,10.9,7,white,0.0,1.0
3287,6.8,0.21,2.17,2.9,0.046,174.0,121.0,low,3.07,0.65,10.9,7,white,0.0,1.0
3288,7.411,0.2,0.84,4.4,0.06,161.0,168.0,medium,2.93,0.45,9.4,6,white,0.0,2.0
3289,6.6,0.28,2.1,8.2,0.044,160.0,196.0,high,3.14,0.48,9.4,5,white,0.0,3.0
3290,7.8,0.38,1.85,1.0,0.043,110.0,80.0,low,3.08,0.38,11.4,5,white,0.0,1.0
3291,5.6,0.12,2.64,2.9,0.044,177.0,73.0,low,3.17,0.32,12.9,8,white,0.0,1.0
3292,6.6,0.28,2.05,7.0,0.046,159.0,194.0,high,3.14,0.48,9.4,5,white,0.0,3.0
3293,6.8,0.17,2.45,1.8,0.04,167.0,84.0,low,2.91,0.57,12.0,7,white,0.0,1.0
3294,7.3,0.25,1.68,1.5,0.043,141.0,113.0,medium,3.38,0.552,10.1,6,white,0.0,2.0
3295,6.6,0.28,2.05,7.0,0.046,157.0,194.0,high,3.14,0.48,9.4,5,white,0.0,3.0
3296,6.6,0.28,2.1,6.83,0.044,160.0,196.0,high,3.14,0.48,9.4,5,white,0.0,3.0
3297,6.5,0.25,2.5,7.6,0.047,158.0,184.0,high,3.17,0.45,9.2,5,white,0.0,3.0
3298,6.3,0.24,2.1,2.3,0.039,161.0,109.0,low,3.34,0.44,11.8,6,white,0.0,1.0
3299,6.8,0.32,2.24,8.7,0.029,177.0,105.0,low,3.0,0.34,12.3,7,white,0.0,1.0
3300,7.8,0.25,1.85,1.0,0.043,108.0,80.0,low,3.08,0.38,11.4,5,white,0.0,1.0
3301,5.6,0.12,2.64,2.9,0.044,179.0,73.0,low,3.17,0.32,12.9,8,white,0.0,1.0
3302,6.6,0.24,1.68,6.7,0.032,150.0,91.0,low,3.13,0.32,12.3,6,white,0.0,1.0
3303,7.789,0.22,2.38,5.0,0.032,180.0,93.0,low,3.27,0.543,13.5,7,white,0.0,1.0
3304,7.317,0.32,2.1,1.9,0.033,179.0,142.0,low,3.29,0.42,12.8,7,white,0.0,1.0
3305,7.649,0.19,2.03,2.0,0.022,169.0,96.0,low,3.04,0.54,12.8,7,white,0.0,1.0
3306,6.0,0.32,2.1,1.9,0.033,179.0,142.0,low,3.29,0.42,12.8,7,white,0.0,1.0
3307,9.4,0.24,0.87,8.5,0.037,188.0,208.0,medium,2.9,0.561,11.0,3,white,0.0,2.0
3308,6.4,0.379,1.68,12.6,0.039,143.0,124.0,high,3.2,0.43,10.6,6,white,0.0,3.0
3309,6.7,0.46,1.89,5.2,0.039,173.0,96.0,low,3.16,0.44,12.4,7,white,0.0,1.0
3310,6.3,0.3,2.03,2.1,0.048,171.0,142.0,low,3.22,0.46,12.9,7,white,0.0,1.0
3311,7.766,0.19,2.03,1.1,0.047,211.0,152.0,low,3.54,0.59,11.1,7,white,0.0,1.0
3312,5.9,0.24,1.96,1.3,0.032,174.0,95.0,low,3.08,0.64,12.9,7,white,0.0,1.0
3313,7.3,0.145,2.31,1.1,0.042,152.0,64.0,low,3.1,0.37,11.8,7,white,0.0,1.0
3314,6.6,0.361,2.28,9.2,0.058,188.0,243.0,very high,3.23,0.54,9.1,6,white,0.0,4.0
3315,7.518,0.18,2.59,1.2,0.036,149.0,74.0,low,3.09,0.49,12.7,7,white,0.0,1.0
3316,5.8,0.18,2.22,1.1,0.036,151.0,96.0,low,3.16,0.48,12.0,6,white,0.0,1.0
3317,5.6,0.32,1.92,8.3,0.043,146.0,105.0,medium,3.24,0.47,11.2,6,white,0.0,2.0
3318,6.6,0.16,2.45,1.8,0.042,162.0,105.0,low,3.19,0.75,12.4,7,white,0.0,1.0
3319,5.1,0.21,1.4,1.4,0.047,150.0,148.0,low,3.5,0.49,10.4,5,white,0.0,1.0
3320,7.5,0.29,1.8,15.7,0.05,129.0,124.0,high,3.06,0.54,10.689,5,white,0.0,3.0
3321,6.0,0.26,1.98,4.35,0.04,135.0,80.0,low,3.29,0.5,12.7,6,white,0.0,1.0
3322,5.7,0.26,2.1,1.8,0.039,166.0,105.0,low,3.48,0.52,12.5,7,white,0.0,1.0
3323,7.1,0.17,1.86,1.6,0.037,131.0,103.0,low,3.14,0.5,12.0,6,white,0.0,1.0
3324,6.9,0.17,1.8,2.0,0.047,133.0,117.0,low,3.16,0.6,11.6,6,white,0.0,1.0
3325,6.8,0.25,1.96,5.0,0.035,174.0,126.0,low,3.12,0.38,12.6,7,white,0.0,1.0
3326,6.6,0.17,1.4,1.8,0.042,162.0,178.0,low,3.15,0.42,10.2,5,white,0.0,1.0
3327,5.8,0.17,2.52,1.3,0.036,153.0,70.0,low,3.43,0.68,10.4,7,white,0.0,1.0
3328,6.4,0.24,1.45,1.0,0.038,124.0,122.0,low,3.3,0.42,11.5,5,white,0.0,1.0
3329,6.7,0.21,2.04,1.4,0.049,152.0,112.0,low,3.02,0.5,11.0,6,white,0.0,1.0
3330,6.7,0.23,1.98,8.1,0.048,150.042,176.0,medium,3.11,0.52,10.1,6,white,0.0,2.0
3331,6.8,0.23,1.954,8.6,0.046,167.0,159.0,medium,3.08,0.52,10.5,6,white,0.0,2.0
3332,6.5,0.22,1.96,3.7,0.059,169.0,151.0,low,3.23,0.41,12.1,7,white,0.0,1.0
3333,7.566,0.165,1.32,5.7,0.047,160.0,146.0,medium,3.18,0.55,9.9,6,white,0.0,2.0
3334,6.6,0.425,1.5,2.35,0.034,147.0,87.0,low,3.05,0.41,11.4,6,white,0.0,1.0
3335,6.9,0.38,1.74,13.65,0.048,172.0,189.0,very high,3.0,0.6,9.5,6,white,0.0,4.0
3336,6.9,0.38,1.74,13.65,0.048,172.0,189.0,very high,3.0,0.6,9.5,6,white,0.0,4.0
3337,6.9,0.38,1.74,13.65,0.048,172.0,189.0,very high,3.0,0.6,9.5,6,white,0.0,4.0
3338,7.2,0.27,1.68,15.2,0.046,130.0,41.0,nan,3.17,0.39,10.9,6,white,0.0,
3339,7.6,0.17,1.62,4.6,0.05,143.0,98.0,medium,3.08,0.47,10.499,6,white,0.0,2.0
3340,7.283,0.3,1.86,1.2,0.048,139.0,125.0,low,3.32,0.54,12.6,6,white,0.0,1.0
3341,7.6,0.17,1.62,4.6,0.05,135.0,98.0,medium,3.08,0.47,9.5,6,white,0.0,2.0
3342,6.5,0.26,1.6,6.65,0.059,136.0,104.0,medium,3.18,0.42,11.1,5,white,0.0,2.0
3343,6.9,0.36,1.96,13.55,0.048,187.0,189.0,very high,3.0,0.6,9.5,7,white,0.0,4.0
3344,6.9,0.38,1.74,13.65,0.048,166.0,189.0,very high,3.0,0.6,9.5,6,nan,,4.0
3345,6.8,0.18,1.44,9.8,0.058,182.0,188.0,high,3.13,0.51,10.6,6,white,0.0,3.0
3346,6.7,0.18,1.44,10.3,0.057,186.0,185.0,high,3.12,0.5,10.6,6,white,0.0,3.0
3347,6.6,0.16,1.26,6.7,0.055,167.0,157.0,medium,3.15,0.52,10.8,6,white,0.0,2.0
3348,7.2,0.27,1.68,15.2,0.046,122.0,41.0,high,3.17,0.39,10.9,6,white,0.0,3.0
3349,6.4,0.17,1.62,9.9,0.047,146.0,101.0,high,3.34,0.5,9.9,6,white,0.0,3.0
3350,7.2,0.22,1.68,7.2,0.06,167.0,132.0,medium,3.08,0.59,11.3,6,white,0.0,2.0
3351,6.0,0.22,1.68,1.1,0.034,167.0,90.0,low,3.22,0.593,12.6,6,white,0.0,1.0
3352,6.7,0.36,1.68,8.3,0.034,149.0,81.0,low,2.96,0.39,12.5,6,white,0.0,1.0
3353,6.5,0.43,1.68,11.25,0.032,149.0,87.0,low,3.02,0.38,12.4,6,white,0.0,1.0
3354,5.9,0.2,1.96,12.8,0.038,171.0,132.0,medium,3.31,0.57,11.8,7,nan,,2.0
3355,7.557,0.32,1.38,9.65,0.026,148.0,119.0,low,3.18,0.53,12.2,6,white,0.0,1.0
3356,6.8,0.2,1.68,12.6,0.048,172.0,136.0,high,3.19,0.37,10.7,6,white,0.0,3.0
3357,6.0,0.22,2.31,12.2,0.033,167.0,97.0,medium,3.17,0.42,11.3,7,white,0.0,2.0
3358,6.7,0.36,1.68,8.3,0.034,153.0,81.0,low,2.96,0.39,12.5,6,white,0.0,1.0
3359,6.5,0.43,1.68,11.25,0.032,151.0,87.0,low,3.02,0.38,12.4,6,white,0.0,1.0
3360,7.1,0.18,3.43,1.3,0.033,156.0,72.0,low,3.05,0.53,11.3,7,white,0.0,1.0
3361,6.4,0.17,1.62,9.9,0.047,146.0,101.0,high,3.34,0.5,9.9,6,white,0.0,3.0
3362,7.805,0.22,1.68,7.2,0.06,159.0,132.0,medium,3.08,0.59,11.3,6,white,0.0,2.0
3363,6.0,0.22,1.68,1.1,0.034,171.0,90.0,low,3.22,0.38,12.6,6,white,0.0,1.0
3364,6.0,0.2,1.56,1.1,0.033,158.0,67.0,low,3.14,0.38,11.5,6,white,0.0,1.0
3365,7.679,0.2,1.82,4.8,0.033,166.0,76.0,low,2.98,0.49,12.3,7,white,0.0,1.0
3366,6.2,0.3,1.26,1.1,0.032,153.0,111.0,low,2.97,0.42,12.2,6,white,0.0,1.0
3367,6.0,0.29,1.5,1.4,0.033,144.0,114.0,low,3.08,0.575,13.2,6,white,0.0,1.0
3368,6.6,0.18,1.68,1.7,0.041,177.0,161.0,low,3.13,0.534,10.2,6,white,0.0,1.0
3369,7.0,0.22,1.96,10.6,0.039,174.0,117.0,medium,3.05,0.55,10.538,7,white,0.0,2.0
3370,6.0,0.29,1.5,1.4,0.033,146.0,114.0,low,3.08,0.43,13.2,6,white,0.0,1.0
3371,6.2,0.3,1.26,1.1,0.032,155.0,111.0,low,2.97,0.42,12.2,6,white,0.0,1.0
3372,5.6,0.15,1.56,5.55,0.051,173.0,139.0,medium,3.47,0.5,11.0,6,white,0.0,2.0
3373,6.9,0.28,1.68,2.1,0.034,185.0,121.0,low,2.98,0.43,13.2,7,white,0.0,1.0
3374,5.9,0.19,1.05,1.7,0.045,153.0,135.0,medium,3.32,0.44,9.5,5,white,0.0,2.0
3375,7.562,0.22,1.56,9.0,0.047,164.0,132.0,very high,3.25,0.53,10.2,6,white,0.0,4.0
3376,6.6,0.18,1.68,1.7,0.041,173.0,161.0,low,3.13,0.45,10.2,6,white,0.0,1.0
3377,7.742,0.4,1.5,1.8,0.05,171.0,189.0,low,3.0,0.55,11.4,6,white,0.0,1.0
3378,6.1,0.28,2.16,4.7,0.03,218.0,140.0,low,3.16,0.42,12.5,8,nan,,1.0
3379,7.512,0.36,2.45,5.984,0.046,189.0,221.0,very high,3.01,0.43,9.2,5,white,0.0,4.0
3380,6.5,0.28,2.38,3.6,0.04,169.0,121.0,low,3.28,0.48,12.1,7,white,0.0,1.0
3381,6.9,0.19,2.45,6.9,0.045,189.0,125.0,medium,3.1,0.44,10.7,7,white,0.0,2.0
3382,7.483,0.28,2.38,3.6,0.04,173.0,121.0,low,3.28,0.48,12.1,7,white,0.0,1.0
3383,6.4,0.22,1.92,4.9,0.046,170.0,156.0,medium,3.38,0.55,11.2,6,white,0.0,2.0
3384,6.8,0.23,1.8,6.95,0.044,164.0,179.0,medium,3.25,0.56,10.6,6,white,0.0,2.0
3385,6.4,0.32,1.86,1.9,0.037,152.0,126.0,low,3.06,0.45,11.8,6,white,0.0,1.0
3386,6.1,0.34,2.16,4.7,0.03,220.0,140.0,low,3.16,0.42,12.5,8,white,0.0,1.0
3387,7.6,0.36,2.45,11.3,0.046,189.0,221.0,very high,3.01,0.43,9.2,5,white,0.0,4.0
3388,8.8,0.39,2.292,1.8,0.096,147.037,80.0,low,2.95,0.6,12.6,6,white,0.0,1.0
3389,6.6,0.24,2.1,11.3,0.026,159.0,77.0,medium,3.13,0.55,12.8,7,white,0.0,2.0
3390,6.9,0.29,1.8,8.2,0.026,153.0,112.0,low,3.0,0.37,12.3,6,white,0.0,1.0
3391,7.377,0.28,2.4,8.3,0.026,197.0,113.0,low,2.99,0.38,12.3,8,white,0.0,1.0
3392,6.7,0.38,1.56,9.55,0.036,155.0,91.0,low,2.98,0.561,12.4,6,white,0.0,1.0
3393,8.0,0.28,1.8,8.4,0.03,157.0,115.0,low,2.93,0.42,12.3,6,white,0.0,1.0
3394,6.5,0.25,2.25,7.8,0.048,150.0,188.0,high,3.2,0.53,9.1,5,white,0.0,3.0
3395,6.6,0.26,2.3,7.8,0.047,150.0,186.0,high,3.2,0.54,9.1,5,white,0.0,3.0
3396,7.4,0.29,1.68,10.2,0.032,161.0,138.0,high,3.1,0.47,10.6,6,white,0.0,3.0
3397,6.3,0.19,1.74,5.5,0.042,160.0,189.0,medium,3.19,0.47,10.3,6,white,0.0,2.0
3398,6.1,0.33,1.6,7.8,0.052,154.843,183.0,high,3.39,0.65,9.5,5,white,0.0,3.0
3399,5.6,0.32,1.98,7.4,0.037,147.0,95.0,medium,3.25,0.49,11.1,6,white,0.0,2.0
3400,7.7,0.46,1.08,3.3,0.054,138.0,143.0,medium,3.12,0.51,10.8,6,white,0.0,2.0
3401,8.8,0.19,1.5,5.0,0.028,130.0,120.0,medium,2.94,0.47,11.2,5,white,0.0,2.0
3402,7.7,0.46,1.08,3.3,0.054,142.0,143.0,medium,3.12,0.51,10.8,6,white,0.0,2.0
3403,8.8,0.27,1.25,5.0,0.024,148.0,99.0,medium,2.87,0.571,11.4,5,white,0.0,2.0
3404,5.8,0.18,1.68,1.3,0.034,129.0,94.0,low,3.21,0.52,11.2,6,white,0.0,1.0
3405,5.8,0.15,1.92,1.2,0.037,136.0,119.0,low,3.19,0.5,10.2,6,white,0.0,1.0
3406,5.6,0.32,1.98,7.4,0.037,143.0,95.0,medium,3.25,0.49,11.1,6,white,0.0,2.0
3407,6.1,0.33,1.6,7.8,0.052,150.0,183.0,high,3.39,0.65,9.5,5,white,0.0,3.0
3408,7.1,0.32,1.8,9.9,0.041,181.0,192.0,high,3.12,0.574,10.2,6,white,0.0,3.0
3409,6.2,0.23,1.05,0.7,0.051,86.0,111.0,low,3.37,0.43,11.0,3,white,0.0,1.0
3410,8.9,0.3,2.45,4.6,0.032,170.0,148.0,medium,3.15,0.45,11.5,7,white,0.0,2.0
3411,6.0,0.14,2.238,5.6,0.036,157.0,127.0,medium,3.05,0.57,9.8,6,white,0.0,2.0
3412,6.8,0.377,1.74,9.5,0.042,174.0,157.0,high,3.11,0.51,10.1,6,white,0.0,3.0
3413,6.7,0.365,2.88,14.8,0.05,151.0,195.0,very high,2.95,0.56,8.8,6,white,0.0,4.0
3414,8.9,0.3,2.45,4.6,0.032,174.0,148.0,medium,3.15,0.45,11.5,7,white,0.0,2.0
3415,6.1,0.3,2.1,2.1,0.031,192.0,163.0,low,3.39,0.43,12.7,7,white,0.0,1.0
3416,7.2,0.37,2.4,11.6,0.032,152.0,214.0,high,3.1,0.51,9.8,6,white,0.0,3.0
3417,6.7,0.64,1.2,1.2,0.03,96.0,76.0,low,3.16,0.6,12.9,4,white,0.0,1.0
3418,7.2,0.37,2.4,11.6,0.032,160.0,214.0,high,3.1,0.51,9.8,6,white,0.0,3.0
3419,7.62,0.3,2.1,2.1,0.031,192.0,163.0,low,3.39,0.43,12.7,7,nan,,1.0
3420,7.6,0.28,2.45,6.953,0.06,130.0,145.0,very high,3.01,0.44,8.5,5,white,0.0,4.0
3421,6.3,0.29,2.24,4.7,0.059,188.0,81.0,low,3.24,0.56,12.7,8,white,0.0,1.0
3422,6.2,0.28,2.24,4.3,0.026,180.0,105.0,low,2.98,0.64,13.1,8,white,0.0,1.0
3423,7.1,0.18,1.95,14.5,0.051,146.0,156.0,very high,3.35,0.78,9.1,5,white,0.0,4.0
3424,6.4,0.32,1.62,4.9,0.034,140.0,122.0,low,3.36,0.71,12.5,6,nan,,1.0
3425,7.581,0.17,2.4,14.55,0.047,169.0,156.0,very high,3.34,0.78,9.1,6,white,0.0,4.0
3426,7.1,0.17,2.4,14.55,0.047,165.0,156.0,very high,3.34,0.78,9.1,6,white,0.0,4.0
3427,5.8,0.409,1.56,10.05,0.039,181.0,162.0,medium,3.33,0.5,11.2,6,white,0.0,2.0
3428,6.4,0.32,1.62,4.9,0.034,140.0,122.0,low,3.36,0.71,12.5,6,white,0.0,1.0
3429,7.489,0.18,1.95,14.5,0.051,150.0,156.0,very high,3.35,0.78,9.1,5,white,0.0,4.0
3430,7.1,0.17,2.4,14.55,0.047,167.0,156.0,very high,3.34,0.78,9.1,6,white,0.0,4.0
3431,7.1,0.18,2.34,15.25,0.047,159.0,158.0,very high,3.34,0.77,9.1,6,white,0.0,4.0
3432,7.8,0.29,1.45,3.15,0.044,141.0,117.0,low,3.24,0.35,11.5,5,white,0.0,1.0
3433,7.402,0.255,1.89,1.3,0.037,170.0,86.0,low,3.05,0.59,12.9,7,white,0.0,1.0
3434,8.2,0.34,1.74,5.2,0.076,141.0,92.0,low,2.95,0.39,12.5,6,white,0.0,1.0
3435,6.5,0.24,1.68,1.1,0.034,150.0,83.0,low,3.25,0.33,12.3,6,white,0.0,1.0
3436,6.9,0.24,1.38,7.1,0.041,138.0,97.0,medium,3.1,0.85,11.4,6,white,0.0,2.0
3437,6.7,0.4,1.1,8.8,0.052,132.0,113.0,high,3.22,0.45,9.4,5,white,0.0,3.0
3438,7.513,0.3,2.2,18.5,0.057,171.0,224.0,very high,3.11,0.53,9.1,5,white,0.0,4.0
3439,6.7,0.4,1.1,8.8,0.052,124.0,113.0,high,3.22,0.45,9.4,5,white,0.0,3.0
3440,6.8,0.17,1.6,1.4,0.04,137.0,106.0,low,3.16,0.66,12.0,5,white,0.0,1.0
3441,7.1,0.25,1.4,1.2,0.04,131.0,111.0,low,3.18,0.596,11.1,5,white,0.0,1.0
3442,5.9,0.27,1.89,5.0,0.035,156.0,97.0,low,3.1,0.33,11.8,7,white,0.0,1.0
3443,6.0,0.16,1.32,1.6,0.042,156.0,106.0,low,3.24,0.32,11.4,6,white,0.0,1.0
3444,6.7,0.3,2.2,18.75,0.057,167.0,224.0,very high,3.11,0.53,9.1,5,white,0.0,4.0
3445,7.775,0.15,2.56,6.0,0.033,219.0,128.0,low,3.19,0.71,12.1,8,white,0.0,1.0
3446,7.3,0.34,1.8,6.879,0.057,150.0,178.0,high,3.15,0.44,10.4,6,white,0.0,3.0
3447,6.0,0.17,1.74,9.7,0.044,153.0,98.0,high,3.12,0.36,9.2,6,white,0.0,3.0
3448,6.7,0.341,2.03,4.75,0.034,171.0,134.0,low,3.29,0.46,13.0,7,white,0.0,1.0
3449,6.6,0.15,2.56,6.0,0.033,221.0,128.0,low,3.19,0.71,12.1,8,white,0.0,1.0
3450,6.6,0.21,2.03,5.35,0.029,183.0,106.0,low,2.93,0.43,11.5,7,white,0.0,1.0
3451,6.6,0.21,2.03,5.35,0.029,181.0,106.0,low,2.93,0.43,11.5,7,white,0.0,1.0
3452,8.0,0.24,2.4,6.8,0.047,111.0,134.0,high,3.23,0.7,10.0,5,white,0.0,3.0
3453,5.6,0.34,1.8,6.9,0.038,143.0,89.0,medium,3.25,0.49,11.1,6,white,0.0,2.0
3454,5.8,0.54,0.0,1.4,0.033,144.0,107.0,low,3.26,0.35,12.4,5,nan,,1.0
3455,7.69,0.353,1.44,0.9,0.031,149.0,86.0,low,2.9,0.38,12.2,6,white,0.0,1.0
3456,6.0,0.39,0.65,1.2,0.042,164.0,172.0,low,3.06,0.52,10.6,5,white,0.0,1.0
3457,6.1,0.105,2.17,1.3,0.037,195.0,145.0,low,3.41,0.564,11.1,7,white,0.0,1.0
3458,5.8,0.32,1.4,2.6,0.027,153.0,123.0,low,3.36,0.78,13.9,7,white,0.0,1.0
3459,7.6,0.22,1.68,12.0,0.056,188.0,143.0,very high,2.99,0.3,9.2,6,white,0.0,4.0
3460,6.8,0.19,2.4,9.85,0.055,163.0,103.0,high,2.98,0.56,10.5,6,white,0.0,3.0
3461,6.7,0.24,2.4,3.85,0.042,154.432,179.0,low,3.04,0.59,11.3,8,white,0.0,1.0
3462,6.8,0.357,2.04,2.0,0.04,156.0,111.0,low,3.24,0.45,12.9,6,white,0.0,1.0
3463,6.2,0.3,2.17,1.6,0.035,184.0,106.0,low,3.26,0.603,12.9,7,white,0.0,1.0
