,FA,VA,CA,RS,chlorides,FSD,TSD,density,pH,sulphates,alcohol,quality
3057,7.1831040774234385,0.27,1.85,5.4,0.026000000000000002,131.0,114.0,1,3.13,0.84,12.7,0
3059,8.5,0.19,2.88,1.1,0.026000000000000002,145.0,58.0,1,2.9,0.5,10.5,1
3060,6.2,0.25,2.7,7.0,0.046,158.0,176.0,2,3.19,0.7,10.4,0
3061,6.2,0.25,2.7,7.0,0.046,160.0,176.0,2,3.19,0.7,10.4,0
3062,6.8,0.28,3.44,7.6,0.03,194.0,110.0,1,3.08,0.59,12.5,1
3063,6.2,0.25,2.7,7.0,0.046,160.0,176.0,2,3.19,0.7,10.4,0
3064,7.4,0.21,1.8638096026490105,12.3,0.038,177.0,183.0,3,2.95,0.48,9.0,0
3065,7.0,0.15,1.8638096026490105,15.3,0.045,146.8341224489796,120.0,3,3.18,0.42,9.8,1
3066,7.4,0.21,1.8638096026490105,12.3,0.038,177.0,183.0,3,2.95,0.48,9.0,0
3067,7.3,0.28,1.68,1.2,0.033,105.0,115.80207972270364,1,3.17,0.43,10.7,0
3068,6.1,0.18,2.28,2.3,0.033,146.8341224489796,115.80207972270364,1,3.16,0.49,12.4,1
3069,7.0,0.53,3.44,6.1,0.028999999999999998,166.0,76.0,1,3.08,0.5,12.5,1
3070,6.8,0.28,3.44,7.6,0.03,192.0,110.0,1,3.08,0.59,12.5,1
3071,6.5,0.36,2.66,10.2,0.027999999999999997,160.0,82.0,2,3.1,0.43,12.1,1
3072,7.5,0.25,2.82,4.1,0.040999999999999995,213.0,163.0,1,2.92,0.59,11.3,1
3073,0.24,6.7,2.05,2.9,0.039,146.8341224489796,115.80207972270364,1,3.25,0.43,12.0,0
3074,6.6,0.25,1.8638096026490105,8.5,0.042,123.0,141.0,0,3.28,0.6,10.4,0
3075,6.4,0.15,2.8,1.5,0.042,163.0,87.0,1,3.11,0.46,12.2,1
3076,6.3,0.28,1.5,3.1,0.039,120.0,115.0,2,3.05,0.43,8.6,0
3078,7.1,0.28,1.75,3.5,0.027999999999999997,131.0,91.0,1,2.96,0.33,12.1,0
3079,6.6,0.35,1.7,4.9,0.032,109.0,125.0,2,3.32,0.81,12.0,0
3080,8.5,0.19,2.88,1.1,0.026000000000000002,149.0,58.0,1,2.9,0.5,10.5,1
3081,6.2,0.25,2.7,7.0,0.046,160.0,176.0,2,3.19,0.7,10.4,0
3082,6.0,0.35,3.06,1.2,0.028999999999999998,122.0,102.0,1,3.46,0.42,11.9,1
3083,5.8,0.31,1.8638096026490105,4.5,0.024,172.0,94.0,1,3.25,0.52,13.7,1
3084,6.6,0.17,2.1,2.6,0.03,151.0,115.80207972270364,1,3.22,0.72,11.3,1
3085,8.5,0.23,2.4,9.9,0.036000000000000004,148.0,88.0,0,3.02,0.42,10.5,1
3086,5.8,0.31,2.24,4.5,0.024,162.0,94.0,1,3.25,0.52,13.7,1
3087,6.1,0.2,1.02,9.5,0.040999999999999995,96.0,115.80207972270364,0,3.14,0.44,10.1,0
3088,6.3,0.37,2.22,1.5,0.024,132.0,76.0,1,2.94,0.39,12.3,1
3089,6.2,0.36,2.66,3.2,0.031,164.0,89.0,1,3.06,0.33,12.0,1
3090,6.6,0.17,2.1,2.6,0.03,153.0,78.0,1,3.22,0.72,11.3,1
3091,6.3,0.28,2.82,11.2,0.04,181.0,115.80207972270364,0,3.12,0.51,9.5,1
3092,7.6,0.27,3.12,3.2,0.043,146.0,152.0,1,3.02,0.53,11.4,1
3093,7.0,0.25,3.15,2.3,0.045,184.0,118.0,1,3.16,0.48,11.9,1
3094,9.7,0.24,2.94,4.9,0.032,123.0,18.0,2,2.85,0.54,10.0,1
3095,9.7,0.24,2.94,4.9,0.032,121.0,18.0,2,2.85,0.54,10.0,1
3096,6.8,0.13,2.73,1.4,0.034,159.0,102.0,1,3.23,0.6,11.3,1
3097,6.6,0.78,2.5,1.5,0.045,146.8341224489796,115.80207972270364,1,3.25,0.48,11.7,0
3099,6.7,0.34,2.8,2.1,0.033,176.0,111.0,1,2.97,0.48,12.2,1
3100,6.7,0.14,3.57,4.3,0.027999999999999997,197.0,124.0,1,2.91,0.54,10.7,1
3101,7.0,0.26,2.04,10.9,0.038,145.0,84.0,2,3.11,0.34,10.9,1
3102,6.5,0.29,1.56,7.0,0.04,136.0,113.0,2,3.17,0.38,10.2,1
3103,7.0,0.25,1.8638096026490105,2.3,0.045,182.0,118.0,1,3.16,0.48,11.9,1
3104,7.6,0.21,2.45,2.5,0.047,120.0,130.0,1,3.15,0.48,11.1,0
3105,7.7,0.26,3.06,2.6,0.045,148.0,159.0,1,3.0,0.5,11.2,1
3106,7.6,0.27,3.12,3.2,0.043,142.0,152.0,1,3.02,0.53,11.4,1
3107,7.7,0.25,2.94,2.5,0.047,149.0,169.0,2,3.07,0.57,10.6,1
3108,7.6,0.35,2.3,14.7,0.047,135.0,115.80207972270364,3,3.03,0.53,10.3,0
3111,6.5,0.23,2.73,1.9,0.036000000000000004,181.0,98.0,1,3.19,0.43,11.9,1
3112,7.6,0.23,1.7,1.6,0.043,122.0,129.0,2,3.12,0.7,10.4,0
3113,6.5,0.24,2.34,17.3,0.052000000000000005,146.0,126.0,3,3.11,0.47,9.2,1
3114,6.3,0.17,1.92,4.2,0.04,159.0,117.0,1,3.24,0.43,11.3,1
3115,6.3,0.17,1.92,4.2,0.04,146.8341224489796,117.0,1,3.24,0.43,10.487660536156229,1
3116,7.1831040774234385,0.21,2.59,2.5,0.034,175.0,89.0,1,3.25,0.5,11.0,1
3117,6.5,0.23,2.73,1.9,0.036000000000000004,179.0,98.0,1,3.19,0.43,11.9,1
3118,5.9,0.28,2.73,1.4,0.031,189.0,147.0,1,3.08,0.64,12.9,1
3119,5.9,0.19,1.85,0.8,0.027000000000000003,99.0,21.0,1,3.09,0.31,10.8,0
3121,7.6,0.23,1.7,1.6,0.043,124.0,129.0,2,3.12,0.7,10.4,0
3122,5.6,0.18,1.62,1.7,0.03,151.0,103.0,1,3.35,0.37,12.9,1
3123,5.5,0.18,1.1,5.5,0.037000000000000005,110.0,115.80207972270364,1,3.46,0.44,12.2,0
3124,6.5,0.24,2.34,17.3,0.052000000000000005,142.0,126.0,3,3.11,0.47,9.2,1
3125,7.4,0.23,1.9,8.6,0.052000000000000005,137.0,150.0,0,3.06,0.46,10.3,0
3126,7.2,0.17,2.59,6.9,0.059000000000000004,187.0,128.0,2,3.08,0.46,11.0,1
3127,7.6,0.3,1.9,2.1,0.043,108.0,98.0,2,3.17,0.65,11.0,0
3128,5.0,0.24,1.26,2.2,0.039,147.0,100.0,1,3.69,0.62,11.7,1
3129,7.1831040774234385,0.21,1.8638096026490105,1.5,0.039,159.0,122.0,1,3.2,0.43,12.0,1
3130,6.5,0.33,2.28,2.5,0.047,148.0,148.0,1,3.17,0.43,12.7,1
3131,6.3,0.35,1.3,17.6,0.061,159.0,115.80207972270364,3,3.11,0.49,8.8,0
3133,6.6,0.25,2.1,2.9,0.034,152.0,121.0,1,3.19,0.4,12.8,1
3134,6.5,0.16,1.98,4.8,0.043,169.0,114.0,1,3.18,0.44,11.2,1
3136,5.6,0.19,1.35,0.9,0.04,152.0,103.0,1,3.5,0.39,11.2,0
3137,6.2,0.25,2.34,1.3,0.051,162.0,135.0,1,3.23,0.4,11.1,1
3138,6.9,0.22,2.58,6.4,0.042,150.0,115.0,2,3.05,0.51,10.8,1
3141,5.9,0.33,2.24,8.1,0.038,145.0,34.0,1,3.22,0.36,12.7,1
3142,7.8,0.17,3.0,1.3,0.045,159.0,140.0,1,3.16,0.4,12.0,1
3143,5.5,0.19,1.35,0.9,0.04,152.0,103.0,1,3.5,0.39,11.2,0
3144,6.2,0.23,2.16,17.2,0.039,163.0,130.0,3,3.23,0.43,8.8,1
3145,6.2,0.23,2.16,17.2,0.039,159.0,130.0,3,3.23,0.43,8.8,1
3146,6.2,0.23,2.16,17.2,0.039,153.0,130.0,3,3.23,0.43,8.8,1
3147,7.2,0.32,1.8638096026490105,8.7,0.038,171.0,154.0,0,3.2,0.47,10.4,1
3148,6.2,0.23,2.16,17.2,0.039,155.0,130.0,3,3.23,0.43,8.8,1
3149,7.2,0.32,2.4,8.7,0.038,167.0,154.0,0,3.2,0.47,10.4,1
3151,6.2,0.23,1.8638096026490105,17.2,0.039,163.0,130.0,3,3.23,0.43,8.8,1
3153,5.8,0.29,1.98,3.7,0.028999999999999998,146.8341224489796,88.0,1,3.25,0.42,12.3,1
3154,7.2,0.4,2.28,2.2,0.03,160.0,109.0,1,3.27,0.46,12.6,1
3155,6.8,0.39,2.38,7.4,0.02,178.0,133.0,1,3.18,0.44,12.0,1
3156,6.1,0.17,2.1,15.1,0.033,126.0,124.0,0,2.87,0.47,9.5,0
3157,6.8,0.39,2.38,7.4,0.02,146.8341224489796,133.0,1,3.18,0.44,12.0,1
3158,7.1,0.36,2.59,4.8,0.019,177.0,114.0,1,3.08,0.49,12.7,1
3159,7.1831040774234385,0.19,1.92,7.9,0.042,154.0,115.80207972270364,2,3.4,0.39,10.5,1
3160,6.5,0.34,2.76,1.0,0.023,122.0,80.0,1,3.15,0.54,12.9,1
3161,6.1,0.17,2.1,15.1,0.033,126.0,124.0,0,2.87,0.47,9.5,0
3162,6.8,0.39,2.38,7.4,0.02,178.0,133.0,1,3.18,0.44,12.0,1
3163,7.1,0.36,2.59,4.8,0.019,179.0,114.0,1,3.08,0.49,12.7,1
3164,7.8,0.3,2.16,4.6,0.024,138.0,115.80207972270364,1,3.06,0.66,11.9,1
3165,6.1,0.68,3.12,1.4,0.037000000000000005,154.0,123.0,1,3.24,0.45,12.0,1
3166,5.2,0.34,2.22,6.2,0.031,160.0,115.80207972270364,1,3.25,0.41,12.5,1
3167,5.6,0.28,2.8,6.1,0.034,178.0,118.0,1,3.21,0.43,12.1,1
3168,6.2,0.19,2.28,5.1,0.019,138.0,82.0,1,3.05,0.36,12.5,1
3169,5.7,0.16,1.56,6.3,0.043,152.0,115.80207972270364,2,3.06,0.58,9.9,1
3170,7.6,0.17,2.76,0.9,0.036000000000000004,185.0,147.0,1,3.02,0.41,10.7,1
3171,7.3,0.2,2.34,2.3,0.048,138.0,87.0,1,2.94,0.35,12.0,1
3172,6.7,0.33,2.88,6.6,0.042,190.0,115.80207972270364,1,2.97,0.31,12.2,1
3173,6.7,0.33,1.8638096026490105,7.5,0.036000000000000004,197.0,124.0,1,2.99,0.32,12.4,1
3174,6.9,0.36,2.8,8.6,0.038,199.0,125.0,1,3.0,0.32,12.4,1
3175,7.8,0.21,2.04,11.9,0.039,177.0,140.0,0,3.02,0.31,10.3,1
3176,7.3,0.2,2.34,2.3,0.048,144.0,115.80207972270364,1,2.94,0.35,12.0,1
3177,5.6,0.41,1.1,7.1,0.05,144.0,154.0,2,3.3,0.4,10.5,0
3178,7.6,0.15,2.1,4.3,0.051,147.0,98.0,2,3.1,0.44,9.5,1
3179,8.5,0.2,1.6,1.1,0.046,111.0,106.0,1,3.0,0.35,10.5,0
3180,6.5,0.24,2.28,1.0,0.027000000000000003,155.0,115.80207972270364,1,3.24,0.36,12.3,1
3181,8.3,0.16,2.22,7.9,0.025,156.0,107.0,2,2.93,0.37,11.9,1
3182,5.5,0.12,1.65,1.0,0.038,123.0,131.0,1,3.25,0.45,9.8,0
3183,6.5,0.24,2.28,1.0,0.027000000000000003,151.0,90.0,1,3.24,0.36,12.3,1
3184,6.2,0.1,2.87,1.0,0.04,155.0,115.80207972270364,1,3.14,0.56,11.4,1
3185,6.5,0.21,1.8638096026490105,7.3,0.040999999999999995,169.0,115.0,2,3.21,0.43,11.0,1
3186,8.7,0.3,2.36,1.7,0.046,88.0,70.0,2,3.06,0.56,10.8,0
3187,6.7,0.18,2.59,1.3,0.027000000000000003,182.0,125.0,1,3.24,0.37,12.8,1
3188,7.0,0.17,2.88,6.4,0.055,146.8341224489796,123.0,2,3.11,0.5,11.0,1
3189,6.6,0.19,1.65,1.8,0.035,140.0,148.0,1,3.15,0.36,10.2,0
3190,5.8,0.28,2.1,1.5,0.026000000000000002,146.8341224489796,114.0,1,3.32,0.6,12.5,1
3191,7.6,0.24,2.64,3.8,0.037000000000000005,171.0,146.0,1,3.06,0.37,11.6,1
3192,8.3,0.16,2.22,7.9,0.025,162.0,115.80207972270364,2,2.93,0.37,11.9,1
3193,5.5,0.12,1.65,1.0,0.038,119.0,131.0,1,3.25,0.45,9.8,0
3194,5.7,0.16,1.6,1.2,0.036000000000000004,146.8341224489796,89.0,1,3.26,0.48,11.0,0
3195,7.0,0.21,2.52,5.3,0.037000000000000005,158.0,123.0,2,3.14,0.52,10.9,1
3196,6.4,0.22,2.66,9.1,0.044000000000000004,173.0,127.0,2,2.97,0.3,11.0,1
3197,7.9,0.34,1.8638096026490105,6.5,0.027000000000000003,169.0,126.0,1,2.96,0.37,12.5,1
3198,6.4,0.22,2.66,9.1,0.044000000000000004,171.0,127.0,2,2.97,0.3,11.0,1
3199,6.8,0.21,2.8,6.3,0.032,178.0,121.0,1,3.18,0.53,12.0,1
3200,5.2,0.31,2.52,5.1,0.031,186.0,145.0,1,3.14,0.31,12.4,1
3201,7.9,0.34,2.64,6.5,0.027000000000000003,165.0,126.0,1,2.96,0.37,12.5,1
3202,5.6,0.42,2.38,2.4,0.022000000000000002,176.0,115.80207972270364,1,3.22,0.38,12.8,1
3203,6.4,0.22,2.66,9.1,0.044000000000000004,173.0,127.0,2,2.97,0.3,11.0,1
3204,6.8,0.28,1.7,7.5,0.035,130.0,177.0,0,3.33,0.43,9.1,0
3205,6.8,0.45,2.52,5.0,0.033,168.0,156.0,1,3.11,0.4,12.4,1
3206,6.6,0.29,2.73,6.75,0.031,146.8341224489796,115.80207972270364,1,3.15,0.8,12.9,1
3207,6.8,0.21,1.8638096026490105,1.2,0.045,144.0,126.0,2,3.09,0.87,10.9,1
3208,6.8,0.25,1.2,1.6,0.045,137.0,164.0,2,3.53,0.58,10.8,0
3209,6.4,0.21,1.7,16.05,0.04,154.0,142.0,0,3.11,0.38,10.6,0
3210,5.8,0.33,1.15,5.0,0.053,131.0,106.0,2,3.13,0.52,9.0,0
3211,8.2,0.3,2.64,12.4,0.043,174.0,154.0,2,3.04,0.33,12.0,1
3212,6.4,0.24,1.8638096026490105,0.95,0.040999999999999995,123.0,131.0,1,3.25,0.35,11.8,0
3213,7.5,0.18,2.7,4.6,0.040999999999999995,183.0,158.0,2,3.01,0.38,10.6,1
3214,5.2,0.335,1.2,1.7,0.033,135.0,74.0,1,3.34,0.48,12.3,1
3215,7.1,0.14,1.98,1.0,0.10400000000000001,140.0,54.0,1,3.19,0.64,11.5,1
3216,7.2,0.13,2.3,1.3,0.044000000000000004,146.8341224489796,111.0,1,2.97,0.45,11.1,0
3217,5.8,0.33,1.15,5.0,0.053,133.0,106.0,2,3.13,0.52,9.0,0
3218,6.5,0.29,1.0,2.5,0.142,90.0,111.0,2,3.0,0.44,9.9,0
3219,6.2,0.35,2.17,2.6,0.036000000000000004,177.0,92.0,1,3.27,0.53,12.8,1
3220,9.0,0.38,2.65,2.1,0.102,119.0,76.0,1,2.93,0.57,12.9,0
3221,6.6,0.24,2.28,12.75,0.034,128.0,74.0,2,3.1,0.57,12.9,1
3222,6.6,0.16,2.04,1.1,0.037000000000000005,159.0,115.0,1,3.01,0.68,12.0,1
3223,8.2,0.3,2.64,12.4,0.043,172.0,154.0,2,3.04,0.33,12.0,1
3224,5.7,0.15,1.68,3.7,0.045,171.0,151.0,1,3.22,0.27,11.2,1
3225,6.6,0.33,2.8,2.65,0.040999999999999995,173.0,86.0,1,3.11,0.39,13.3,1
3226,5.7,0.2,1.8,2.5,0.046,152.0,125.0,2,3.34,0.5,9.9,1
3227,7.1831040774234385,0.27,2.22,8.2,0.055,172.0,192.0,0,3.11,0.52,9.5,1
3229,6.2,0.2,1.82,1.1,0.047,180.0,119.0,1,3.48,0.6,11.0,1
3230,6.7,0.13,3.42,6.6,0.055999999999999994,180.0,150.0,0,2.96,0.43,9.4,1
3231,6.8,0.21,2.22,7.0,0.038,146.8341224489796,107.0,1,2.98,0.82,11.5,1
3232,6.7,0.31,1.6,14.5,0.038,114.0,79.0,2,3.14,0.34,12.5,0
3233,6.2,0.2,1.74,11.8,0.035,141.0,93.0,2,3.18,0.34,11.9,1
3234,6.6,0.25,2.04,3.0,0.054000000000000006,144.0,141.0,2,3.26,0.47,10.4,1
3235,5.7,0.15,1.68,3.7,0.045,177.0,151.0,1,3.22,0.27,11.2,1
3236,6.9,0.22,2.34,6.0,0.035,160.0,141.0,1,3.11,0.33,12.5,1
3237,6.4,0.23,2.45,4.6,0.039,187.0,115.80207972270364,1,3.18,0.4,11.0,1
3238,7.6,0.27,1.45,2.5,0.059000000000000004,133.0,115.0,2,3.09,0.37,9.8,0
3239,6.6,0.34,1.68,3.3,0.034,173.0,99.0,1,3.1,0.4,12.3,1
3240,6.4,0.16,2.52,1.0,0.036000000000000004,153.0,113.0,1,3.18,0.52,11.0,1
3241,5.8,0.3,2.94,1.1,0.036000000000000004,161.0,113.0,1,3.1,0.46,12.6,1
3242,7.0,0.29,2.1,1.4,0.036000000000000004,156.0,109.0,1,3.31,0.62,11.6,1
3243,6.6,0.34,1.68,3.3,0.034,165.0,99.0,1,3.1,0.4,12.3,1
3244,6.7,0.21,2.52,8.55,0.02,158.0,86.0,1,3.19,0.22,13.4,1
3245,7.6,0.27,1.45,2.5,0.059000000000000004,137.0,115.0,2,3.09,0.37,9.8,0
3246,6.8,0.22,2.46,6.7,0.034,159.0,116.0,2,3.18,0.46,11.5,1
3247,7.7,0.27,2.94,3.8,0.037000000000000005,166.0,139.0,1,3.04,0.38,11.6,1
3248,6.4,0.25,2.59,4.5,0.039,179.0,147.0,1,3.18,0.4,11.1,1
3249,6.4,0.23,2.45,4.6,0.039,181.0,147.0,1,3.18,0.4,11.0,1
3250,6.7,0.13,2.7,4.2,0.043,174.0,131.0,1,3.06,0.54,11.3,1
3251,6.7,0.24,2.22,11.3,0.043,186.0,173.0,0,3.08,0.53,9.9,1
3252,7.1,0.26,2.96,5.5,0.025,191.0,115.80207972270364,1,3.06,0.33,12.6,1
3253,5.3,0.3,1.28,4.2,0.028999999999999998,195.0,100.0,1,3.3,0.36,11.8,1
3255,7.4,0.19,1.86,14.5,0.045,159.0,193.0,3,3.1,0.5,9.2,1
3256,7.4,0.19,1.86,14.5,0.045,161.0,193.0,3,3.1,0.5,9.2,1
3257,7.4,0.19,1.86,14.5,0.045,163.0,193.0,3,3.1,0.5,9.2,1
3259,7.4,0.19,1.86,14.5,0.045,155.0,193.0,3,3.1,0.5,9.2,1
3260,7.4,0.19,1.86,14.5,0.045,161.0,193.0,3,3.1,0.5,9.2,1
3261,6.3,0.32,1.8638096026490105,1.5,0.03,126.0,115.80207972270364,1,3.21,0.42,13.0,0
3262,7.6,0.19,2.24,18.75,0.047,168.0,193.0,3,3.1,0.5,9.3,1
3263,6.5,0.26,2.48,3.6,0.03,196.0,92.0,1,3.22,0.62,12.6,1
3265,4.2,0.215,0.69,5.1,0.040999999999999995,122.0,157.0,0,3.42,0.44,8.0,0
3266,8.1,0.24,1.8638096026490105,10.5,0.03,152.0,105.0,2,3.11,0.42,11.8,1
3267,5.8,0.23,1.2,2.0,0.043,161.0,154.0,1,3.21,0.39,10.2,1
3268,7.5,0.33,2.16,2.6,0.051,148.0,126.0,1,3.32,0.53,12.7,1
3270,6.4,0.15,1.45,1.8,0.044000000000000004,119.0,115.0,1,3.1,0.38,10.2,0
3271,6.5,0.32,2.38,5.7,0.044000000000000004,167.0,91.0,1,3.28,0.6,12.0,1
3272,7.5,0.22,2.24,2.4,0.045,175.0,100.0,1,3.08,0.6,11.3,1
3273,6.4,0.23,2.24,1.9,0.038,178.0,118.0,1,3.32,0.53,11.8,1
3274,6.1,0.22,1.55,1.4,0.039,140.0,129.0,1,3.45,0.59,10.9,0
3275,6.5,0.48,0.08,0.9,0.043,112.0,99.0,1,3.14,0.47,9.8,0
3276,6.6,0.23,2.4,4.6,0.06,189.0,154.0,1,3.23,0.49,12.2,1
3277,6.4,0.16,1.75,1.4,0.057,159.0,125.0,1,3.23,0.44,11.1,1
3279,7.4,0.16,1.92,1.4,0.065,141.0,140.0,1,3.06,0.47,11.4,1
3280,6.4,0.15,1.45,1.8,0.044000000000000004,117.0,115.0,1,3.1,0.38,10.2,0
3281,6.5,0.32,1.8,2.3,0.051,140.0,127.0,1,3.13,0.52,12.8,1
3282,6.7,0.12,2.52,2.3,0.039,179.0,125.0,1,3.07,0.67,10.1,1
3283,6.6,0.2,0.84,4.4,0.184,147.0,168.0,2,2.93,0.45,9.4,1
3284,8.0,0.34,1.8638096026490105,6.4,0.035,158.0,103.0,1,2.91,0.23,12.2,1
3285,6.8,0.21,2.17,2.9,0.046,180.0,121.0,1,3.07,0.65,10.9,1
3286,6.8,0.23,2.17,2.8,0.047,176.0,122.0,1,3.06,0.64,10.9,1
3287,6.8,0.21,2.17,2.9,0.046,180.0,121.0,1,3.07,0.65,10.9,1
3288,6.6,0.2,0.84,4.4,0.184,149.0,168.0,2,2.93,0.45,9.4,1
3289,6.6,0.28,2.1,8.2,0.044000000000000004,164.0,196.0,0,3.14,0.48,9.4,0
3290,7.8,0.25,1.85,1.0,0.043,146.8341224489796,80.0,1,3.08,0.38,11.4,0
3291,5.6,0.12,2.64,2.9,0.044000000000000004,146.8341224489796,73.0,1,3.17,0.32,12.9,1
3292,6.6,0.28,2.05,7.0,0.046,161.0,194.0,0,3.14,0.48,9.4,0
3293,6.8,0.17,1.8638096026490105,1.8,0.04,165.0,84.0,1,2.91,0.57,12.0,1
3294,7.3,0.25,1.68,1.5,0.043,146.8341224489796,113.0,2,3.38,0.56,10.1,1
3295,7.1831040774234385,0.28,2.05,7.0,0.046,157.0,194.0,0,3.14,0.48,9.4,0
3296,6.6,0.28,2.1,8.2,0.044000000000000004,160.0,196.0,0,3.14,0.48,9.4,0
3297,6.5,0.25,2.5,5.443836575875507,0.047,156.0,184.0,0,3.17,0.45,9.2,0
3298,6.3,0.24,2.1,2.3,0.039,159.0,115.80207972270364,1,3.34,0.44,11.8,1
3299,6.8,0.32,2.24,8.7,0.028999999999999998,171.0,105.0,1,3.0,0.34,12.3,1
3300,7.8,0.25,1.85,1.0,0.043,106.0,80.0,1,3.08,0.38,11.4,0
3301,5.6,0.12,2.64,2.9,0.044000000000000004,179.0,73.0,1,3.17,0.32,12.9,1
3302,6.6,0.24,1.68,6.7,0.032,144.0,91.0,1,3.13,0.32,12.3,1
3303,6.3,0.22,2.38,5.0,0.032,174.0,93.0,1,3.27,0.36,13.5,1
3304,6.0,0.32,2.1,1.9,0.033,183.0,142.0,1,3.29,0.42,12.8,1
3305,6.3,0.19,2.03,2.0,0.022000000000000002,173.0,96.0,1,3.04,0.54,10.487660536156229,1
3306,6.0,0.32,2.1,1.9,0.033,185.0,142.0,1,3.29,0.42,12.8,1
3308,6.4,0.35,1.68,12.6,0.039,135.0,124.0,0,3.2,0.43,10.6,1
3309,6.7,0.46,1.89,5.2,0.039,177.0,96.0,1,3.16,0.44,12.4,1
3310,6.3,0.3,2.03,2.1,0.048,173.0,142.0,1,3.22,0.46,12.9,1
3311,6.0,0.19,2.03,1.1,0.047,211.0,152.0,1,3.54,0.59,11.1,1
3312,5.9,0.24,1.96,1.3,0.032,178.0,95.0,1,3.08,0.64,12.9,1
3313,7.3,0.145,2.31,1.1,0.042,148.0,64.0,1,3.1,0.37,11.8,1
3315,5.8,0.18,2.59,1.2,0.036000000000000004,161.0,74.0,1,3.09,0.49,12.7,1
3316,5.8,0.18,2.22,1.1,0.036000000000000004,153.0,96.0,1,3.16,0.48,12.0,1
3317,5.6,0.32,1.92,8.3,0.043,154.0,105.0,2,3.24,0.47,11.2,1
3318,6.6,0.16,2.45,1.8,0.042,166.0,105.0,1,3.19,0.75,12.4,1
3319,5.1,0.21,1.4,1.4,0.047,148.0,115.80207972270364,1,3.5,0.49,10.4,0
3320,7.5,0.29,1.8,15.7,0.05,129.0,124.0,0,3.06,0.54,10.4,0
3321,6.0,0.26,1.98,4.35,0.04,131.0,80.0,1,3.29,0.5,12.7,1
3322,5.7,0.26,2.1,1.8,0.039,176.0,105.0,1,3.48,0.52,12.5,1
3323,7.1,0.17,1.86,1.6,0.037000000000000005,146.8341224489796,115.80207972270364,1,3.14,0.5,12.0,1
3324,6.9,0.17,1.8,2.0,0.047,135.0,117.0,1,3.16,0.51,11.6,1
3325,6.8,0.25,1.96,5.0,0.035,182.0,126.0,1,3.12,0.38,12.6,1
3326,6.6,0.17,1.4,1.8,0.042,160.0,178.0,1,3.15,0.42,10.2,0
3327,5.8,0.17,2.52,1.3,0.036000000000000004,149.0,70.0,1,3.43,0.68,10.4,1
3328,6.4,0.24,1.8638096026490105,1.0,0.038,114.0,122.0,1,3.3,0.42,11.5,0
3329,6.7,0.21,2.04,1.4,0.049,152.0,112.0,1,3.02,0.5,11.0,1
3330,6.7,0.23,1.98,8.1,0.048,171.0,176.0,2,3.11,0.52,10.1,1
3331,6.8,0.23,1.8638096026490105,8.6,0.046,171.0,159.0,2,3.08,0.52,10.5,1
3332,6.5,0.22,1.96,3.7,0.059000000000000004,171.0,151.0,1,3.23,0.41,12.1,1
3333,5.1,0.165,1.32,5.7,0.047,158.0,146.0,2,3.18,0.55,9.9,1
3334,6.6,0.425,1.5,2.35,0.034,143.0,87.0,1,3.05,0.41,11.4,1
3335,6.9,0.38,1.74,13.65,0.048,174.0,189.0,3,3.0,0.6,9.5,1
3336,6.9,0.38,1.74,13.65,0.048,172.0,189.0,3,3.0,0.6,9.5,1
3337,6.9,0.38,1.74,13.65,0.048,174.0,115.80207972270364,3,3.0,0.6,9.5,1
3338,7.2,0.27,1.68,15.2,0.046,128.0,41.0,0,3.17,0.39,10.9,1
3339,7.6,0.17,1.62,4.6,0.05,143.0,98.0,2,3.08,0.47,9.5,1
3340,6.2,0.3,1.86,1.2,0.048,137.0,125.0,1,3.32,0.54,12.6,1
3341,7.6,0.17,1.8638096026490105,4.6,0.05,143.0,98.0,2,3.08,0.47,9.5,1
3342,6.5,0.26,1.6,6.65,0.059000000000000004,136.0,104.0,2,3.18,0.42,11.1,0
3343,6.9,0.36,1.96,13.55,0.048,189.0,189.0,3,3.0,0.6,9.5,1
3344,6.9,0.38,1.74,13.65,0.048,174.0,189.0,3,3.0,0.6,9.5,1
3345,6.8,0.18,1.44,9.8,0.057999999999999996,180.0,188.0,0,3.13,0.51,10.6,1
3346,6.7,0.18,1.44,10.3,0.057,184.0,185.0,0,3.12,0.5,10.6,1
3347,6.6,0.16,1.26,6.7,0.055,167.0,157.0,2,3.15,0.52,10.8,1
3348,7.2,0.27,1.68,15.2,0.046,126.0,41.0,0,3.17,0.39,10.9,1
3350,7.2,0.22,1.68,7.2,0.06,159.0,132.0,2,3.08,0.59,11.3,1
3351,6.0,0.22,1.68,1.1,0.034,165.0,90.0,1,3.22,0.38,12.6,1
3352,6.7,0.36,1.68,8.3,0.034,143.0,81.0,1,2.96,0.39,12.5,1
3353,6.5,0.43,1.68,11.25,0.032,147.0,87.0,1,3.02,0.38,12.4,1
3354,5.9,0.2,1.96,12.8,0.038,165.0,132.0,2,3.31,0.57,11.8,1
3355,5.3,0.32,1.38,9.65,0.026000000000000002,144.0,119.0,1,3.18,0.53,12.2,1
3356,6.8,0.2,1.68,12.6,0.048,176.0,115.80207972270364,0,3.19,0.37,10.7,1
3357,6.0,0.22,2.31,12.2,0.033,169.0,97.0,2,3.17,0.42,11.3,1
3358,6.7,0.36,1.68,8.3,0.034,147.0,81.0,1,2.96,0.39,12.5,1
3359,6.5,0.43,1.68,11.25,0.032,153.0,87.0,1,3.02,0.38,12.4,1
